col_name,dtype,descripcion,synonyms
ID,BIGINT,identificador unico interno de la empresa o aplicante.,"identificador, codigo interno, id del aplicante, numero de registro"
nombre_empresa_principal,VARCHAR,nombre comercial de la organizacion participante,"nombre comercial, razon social, nombre de la organizacion, marca"
email_empresa_principal,VARCHAR,correo electronico del empresario.,"correo electronico, email de contacto, correo del representante, email corporativo"
tipo_zona_geografica_empresa,VARCHAR,dimension estructural tipo de ubicacion geografica donde opera la empresa urbana rural periurbana utilizada para segmentacion territorial,zona ubicacion territorio area urbana rural ciudad campo region localizacion geografica
LINEA_BASE_punto_equilibrio,VARCHAR,estado financiero estructural indica si los ingresos de la empresa cubren sus costos operativos utilizado para segmentacion por situacion financiera,punto equilibrio rentabilidad equilibrio financiero ingresos cubren costos sostenibilidad financiera utilidad perdida
LINEA_BASE_promedio_tickets,BIGINT,valor promedio de venta por transaccion,"ticket promedio, valor de venta por transaccion, venta media, gasto promedio por cliente"
LINEA_BASE_promedio_clientes,BIGINT,cantidad media de clientes atendidos,"media de clientes, volumen de compradores, trafico de clientes, cantidad de usuarios atendidos"
propiedad_accionistas_mujeres,VARCHAR,dimension estructural indica si existen mujeres con participacion en la propiedad o accionariado de la empresa,accionistas mujeres propiedad femenina participacion mujeres socias mujeres capital femenino
propiedad_accionistas_indigena,VARCHAR,dimension estructural indica si existen personas indigenas con participacion en la propiedad o accionariado de la empresa,accionistas indigenas propiedad indigena participacion pueblos originarios capital indigena
propiedad_accionistas_lgbt,VARCHAR,dimension estructural indica si existen personas lgbt con participacion en la propiedad o accionariado de la empresa,accionistas lgbt propiedad diversidad participacion diversidad capital lgbt
direccion_general_ocupada_por_mujer,VARCHAR,dimension estructural indica si la direccion general o gerencia principal de la empresa esta ocupada por una mujer,directora gerente mujer liderazgo femenino direccion mujer mujer en gerencia
direccion_general_ocupada_por_persona_indigena,VARCHAR,dimension estructural indica si la direccion general o gerencia principal esta ocupada por una persona indigena,director indigena liderazgo indigena gerente indigena direccion indigena pueblos originarios liderazgo
direccion_general_ocupada_por_persona_lgbt,VARCHAR,dimension estructural indica si la direccion general o gerencia principal esta ocupada por una persona lgbt,director lgbt liderazgo diversidad gerente lgbt direccion diversidad liderazgo lgbt
LINEA_BASE_numero_mujeres_accionistas,BIGINT,conteo total de mujeres con participación accionaria,"cantidad de socias, total de mujeres propietarias, numero de duenas, accionistas femeninas"
LINEA_BASE_numero_hombres_accionistas,BIGINT,conteo total de hombres con participación accionaria,"cantidad de socios, total de hombres propietarios, numero de duenos, accionistas masculinos"
LINEA_BASE_numero_personas_no_binarias_accionistas,BIGINT,conteo total de personas no binarias con participación accionaria,"cantidad de socios no binarios, total de propietarios no binarios, numero de duenos no binarios, accionistas no binarios"
LINEA_BASE_numero_mujeres_directivas,BIGINT,conteo total de mujeres en cargos directivos pero que no sean directoras generales o gerentes,"cantidad de directivas, total de mujeres en gerencia media, numero de jefas, ejecutivas femeninas"
LINEA_BASE_numero_hombres_directivos,BIGINT,conteo total de hombres en cargos directivos pero que no sean directoras generales o gerentes,"cantidad de directivos, total de hombres en gerencia media, numero de jefes, ejecutivos masculinos"
LINEA_BASE_numero_personas_no_binarias_directivas,BIGINT,conteo total de personas no binarias en cargos directivos pero que no sean directoras generales o gerentes,"cantidad de directivos no binarios, total de lideres no binarios, numero de mandos medios no binarios"
LINEA_BASE_tipo_impacto_agricultura_sostenible,VARCHAR,empresa genera impacto social o ambiental en agricultura sostenible,"agroecologia, cultivo sustentable, impacto agricola, agro sostenible"
LINEA_BASE_tipo_impacto_tecnologia_climatica,VARCHAR,empresa genera impacto social o ambiental en tecnologia climatica,"climate tech, tecnologia ambiental, soluciones climaticas, innovacion climatica"
LINEA_BASE_tipo_impacto_energia_limpia,VARCHAR,empresa genera impacto social o ambiental en energia limpia,"energias renovables, impacto energetico, energia verde, transicion energetica"
LINEA_BASE_tipo_impacto_economia_azul,VARCHAR,empresa genera impacto social o ambiental en economia azul,"recursos marinos, impacto oceanico, conservacion costera, sector maritimo sostenible"
